rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	rep9	rep10	
S.01	0	1	1	0	0	0	0	0	0	0
S.02	0	0	1	0	0	0	0	NA	NA	NA
S.03	0	0	0	1	NA	NA	NA	NA	NA	NA
S.04	0	1	0	0	0	1	0	1	0	0
S.05	0	0	1	NA	NA	NA	NA	NA	NA	NA
S.06	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.07	0	0	0	0	0	0	0	0	0	0
S.08	0	1	0	0	0	0	0	0	0	0
S.09	0	1	0	0	0	1	0	0	0	1
S.10	1	0	NA	NA	NA	NA	NA	NA	NA	NA
S.11	0	0	0	0	NA	NA	NA	NA	NA	NA
S.12	0	1	0	0	0	0	1	NA	NA	NA
S.13	1	0	0	0	0	0	0	1	NA	NA
S.14	0	0	1	0	0	0	0	0	0	0
S.15	0	1	1	0	0	0	0	0	0	0
S.16	0	0	0	0	0	0	0	NA	NA	NA
S.17	0	0	NA	NA	NA	NA	NA	NA	NA	NA
S.18	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.20	0	1	0	0	NA	NA	NA	NA	NA	NA
S.21	1	1	0	1	1	0	0	0	0	1
S.22	0	0	1	1	NA	NA	NA	NA	NA	NA
S.23	0	0	1	0	NA	NA	NA	NA	NA	NA
S.24	0	0	0	0	0	0	0	0	0	0
S.25	0	0	0	0	0	0	0	0	0	0
S.26	0	0	0	0	0	0	0	0	0	0
S.27	0	0	0	0	0	0	0	0	0	0
S.28	0	0	0	0	0	0	0	0	NA	NA
S.29	0	0	0	0	0	0	0	0	0	0
S.30	0	0	1	0	NA	NA	NA	NA	NA	NA
S.31	0	0	0	0	0	0	0	1	0	0
S.32	0	0	0	0	0	NA	NA	NA	NA	NA
S.33	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.34	0	0	0	0	0	0	0	1	0	0
S.35	1	0	1	1	0	0	0	0	1	0
S.36	0	0	0	0	0	0	0	0	NA	NA
S.37	0	0	1	0	0	0	0	0	0	1
S.38	1	1	0	NA	NA	NA	NA	NA	NA	NA
S.39	0	0	0	0	NA	NA	NA	NA	NA	NA
S.40	0	0	1	0	0	0	1	0	0	0
S.41	0	0	0	0	0	0	0	NA	NA	NA
S.42	0	0	0	0	0	0	0	0	0	NA
S.43	0	0	0	0	0	0	0	0	0	0
S.44	0	0	0	NA	NA	NA	NA	NA	NA	NA
S.45	0	0	0	0	0	0	0	NA	NA	NA
S.46	0	0	NA	NA	NA	NA	NA	NA	NA	NA
S.47	0	0	0	0	0	0	0	0	0	NA
S.48	0	0	0	0	1	0	0	0	1	0
S.49	0	0	0	0	0	0	0	0	NA	NA
S.50	1	0	0	NA	NA	NA	NA	NA	NA	NA
