	rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	rep9	rep10
S.01	1	1	1	1	0	0	1	1	1	0
S.02	1	1	0	0	1	0	1	NA	NA	NA
S.03	0	0	0	1	NA	NA	NA	NA	NA	NA
S.04	1	1	1	0	1	0	1	1	0	0
S.05	1	0	1	NA	NA	NA	NA	NA	NA	NA
S.06	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.07	1	0	0	0	0	0	0	0	1	0
S.08	0	1	0	1	1	1	1	1	1	1
S.09	0	1	1	1	1	0	1	0	0	0
S.10	0	0	NA	NA	NA	NA	NA	NA	NA	NA
S.11	1	0	0	0	NA	NA	NA	NA	NA	NA
S.12	0	0	0	0	0	0	1	NA	NA	NA
S.13	1	1	0	0	0	0	1	1	NA	NA
S.14	0	0	0	0	0	0	0	0	1	1
S.15	1	0	0	0	0	0	0	0	0	0
S.16	0	1	0	0	0	1	0	NA	NA	NA
S.17	0	1	NA	NA	NA	NA	NA	NA	NA	NA
S.18	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.20	0	0	0	0	NA	NA	NA	NA	NA	NA
S.21	1	0	1	1	1	0	1	1	1	1
S.22	1	1	1	1	NA	NA	NA	NA	NA	NA
S.23	0	1	0	0	NA	NA	NA	NA	NA	NA
S.24	1	1	1	0	0	0	0	1	1	0
S.25	1	1	1	1	1	0	0	1	0	0
S.26	0	1	1	1	1	1	1	1	1	1
S.27	1	0	1	0	1	0	1	0	1	1
S.28	0	1	0	0	0	0	1	0	NA	NA
S.29	1	1	1	1	0	0	1	0	0	0
S.30	1	0	0	1	NA	NA	NA	NA	NA	NA
S.31	1	1	1	0	0	0	0	0	1	1
S.32	1	0	0	0	1	NA	NA	NA	NA	NA
S.33	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.34	1	1	0	0	1	0	0	1	1	0
S.35	0	0	0	1	1	0	0	1	1	1
S.36	0	1	0	0	1	1	1	1	NA	NA
S.37	1	0	0	1	0	1	1	1	1	1
S.38	0	0	0	NA	NA	NA	NA	NA	NA	NA
S.39	1	1	0	1	NA	NA	NA	NA	NA	NA
S.40	1	1	1	1	0	0	0	1	0	0
S.41	1	1	1	1	0	1	0	NA	NA	NA
S.42	0	0	1	1	0	1	1	1	1	NA
S.43	1	1	1	1	1	1	1	1	1	0
S.44	1	1	1	NA	NA	NA	NA	NA	NA	NA
S.45	1	0	1	1	1	0	1	NA	NA	NA
S.46	1	0	NA	NA	NA	NA	NA	NA	NA	NA
S.47	1	1	0	1	1	0	0	0	0	NA
S.48	0	1	0	0	0	0	0	0	0	1
S.49	1	1	1	0	0	0	0	0	NA	NA
S.50	0	0	0	NA	NA	NA	NA	NA	NA	NA
